#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA23CA
#Date Time: 2019-04-01 12:59:37.574
#Start: 300 Hz
#Stop: 2250 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.5478 V
#Offset: -0.00029488 V
#Relative: no
#Channel: Channel 2
#Range: 5.4859 V
#Offset: -5.08746e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
1773.04,0.00011289,-13.1928
1780.21,0.00649667,-13.7412
1787.42,0.00552131,-14.2666
1794.65,0.00758968,-14.7902
1801.91,0.0012372,-15.3102
1809.2,-0.000296522,-15.8632
1816.52,0.00459189,-16.4017
1823.87,0.00457362,-16.9233
1831.25,0.00531067,-17.4409
1838.66,0.00548606,-18.0026
1846.1,0.00580505,-18.5662
1853.57,0.0064955,-19.044
1861.07,0.00757604,-19.5875
1868.6,0.00361875,-20.1552
1876.16,0.00667116,-20.6562
1883.75,0.00071004,-21.1944
1891.37,0.0105372,-21.7631
1899.02,0.0117801,-22.2218
1906.71,0.0104066,-22.7647
1914.42,-0.00114295,-23.3072
1922.17,0.00593501,-23.885
1929.94,0.00608658,-24.3471
1937.75,0.0106407,-24.8311
1945.59,0.0146728,-25.3581
1953.46,0.00398709,-25.9146
1961.37,0.0088253,-26.4431
1969.3,0.00524728,-26.9212
1977.27,0.0117804,-27.4771
1985.27,0.00253508,-27.9868
1993.3,0.00704499,-28.4351
2001.37,0.00467222,-29.059
2009.47,2.7998e-05,-29.4534
2017.6,0.00900862,-30.12
2025.76,0.00174594,-30.5115
2033.96,0.00682677,-31.0713
2042.19,0.00640113,-31.4938
2050.45,0.00248327,-32.006
2058.75,0.00881928,-32.5189
2067.08,-0.00214206,-32.9936
2075.44,0.0132751,-33.4294
2083.84,0.00392042,-34.1135
2092.27,-0.000942466,-34.4594
2100.73,0.0113221,-35.0244
2109.23,0.00165877,-35.3448
2117.77,0.00651772,-35.733
2126.34,-0.00519265,-36.3283
2134.94,-0.00285175,-37.0811
2143.58,0.00801658,-37.3029
2152.25,0.0124957,-37.7256
2160.96,0.0101502,-38.3235
2169.7,0.00164048,-38.8594
2178.48,0.00536531,-39.4715
2187.29,0.00224433,-39.5866
2196.14,0.00238063,-40.3784
2205.03,0.000975666,-40.6239
2213.95,0.00714357,-41.1603
2222.91,0.00479467,-41.737
2231.9,0.0116269,-42.2767
2240.93,0.00235276,-42.704
2250,0.0106955,-42.8603
