x-axis,B,2
second,Volt,Volt
-599.995E-06,-1.521441406E+00,+289.851176E-03
-594.995E-06,-1.478472656E+00,+297.272661E-03
-589.995E-06,-1.435503906E+00,+304.303911E-03
-584.995E-06,-1.392533203E+00,+311.335942E-03
-579.995E-06,-1.347613281E+00,+319.147661E-03
-574.995E-06,-1.304644531E+00,+326.178911E-03
-569.995E-06,-1.261675781E+00,+333.209771E-03
-564.995E-06,-1.218705078E+00,+339.850786E-03
-559.995E-06,-1.173781250E+00,+346.882036E-03
-554.995E-06,-1.126910156E+00,+353.912896E-03
-549.995E-06,-1.083933594E+00,+360.553521E-03
-544.995E-06,-1.033158203E+00,+367.193755E-03
-539.995E-06,-988.234375E-03,+373.443756E-03
-534.995E-06,-941.361328E-03,+379.694146E-03
-529.995E-06,-896.439453E-03,+386.334771E-03
-524.995E-06,-851.517578E-03,+392.974615E-03
-519.995E-06,-806.589844E-03,+398.834381E-03
-514.995E-06,-755.816406E-03,+405.084381E-03
-509.995E-06,-712.847656E-03,+411.334381E-03
-504.995E-06,-669.876953E-03,+417.584381E-03
-499.995E-06,-624.953125E-03,+423.833991E-03
-494.995E-06,-578.076172E-03,+429.693366E-03
-489.995E-06,-529.250000E-03,+435.551960E-03
-484.995E-06,-482.375000E-03,+440.630475E-03
-479.995E-06,-435.500000E-03,+446.099225E-03
-474.995E-06,-388.626953E-03,+451.567975E-03
-469.995E-06,-343.701172E-03,+457.036726E-03
-464.995E-06,-294.871094E-03,+462.505085E-03
-459.995E-06,-244.093750E-03,+467.583210E-03
-454.995E-06,-197.222656E-03,+472.660554E-03
-449.995E-06,-154.253906E-03,+476.958210E-03
-444.995E-06,-111.283203E-03,+482.035163E-03
-439.995E-06,-66.361328E-03,+485.941413E-03
-434.995E-06,-21.443359E-03,+489.848054E-03
-429.995E-06,+19.580078E-03,+494.144929E-03
-424.995E-06,+68.406250E-03,+498.441414E-03
-419.995E-06,+115.283203E-03,+502.347664E-03
-414.995E-06,+164.107422E-03,+506.254304E-03
-409.995E-06,+209.031250E-03,+510.550789E-03
-404.995E-06,+255.906250E-03,+514.457039E-03
-399.995E-06,+302.781250E-03,+518.362898E-03
-394.995E-06,+349.654297E-03,+521.878523E-03
-389.995E-06,+394.578125E-03,+525.393758E-03
-384.995E-06,+441.449219E-03,+528.519149E-03
-379.995E-06,+484.417969E-03,+532.034383E-03
-374.995E-06,+527.388672E-03,+535.159383E-03
-369.995E-06,+572.308594E-03,+538.283992E-03
-364.995E-06,+615.281250E-03,+541.018758E-03
-359.995E-06,+662.154297E-03,+544.143367E-03
-354.995E-06,+707.074219E-03,+546.877743E-03
-349.995E-06,+750.044922E-03,+549.611727E-03
-344.995E-06,+794.966797E-03,+551.955477E-03
-339.995E-06,+839.888672E-03,+554.299227E-03
-334.995E-06,+884.810547E-03,+556.642977E-03
-329.995E-06,+929.730469E-03,+558.986336E-03
-324.995E-06,+972.701172E-03,+560.939461E-03
-319.995E-06,+1.017621094E+00,+562.892196E-03
-314.995E-06,+1.060589844E+00,+564.455087E-03
-309.995E-06,+1.103558594E+00,+566.407821E-03
-304.995E-06,+1.146523437E+00,+567.970321E-03
-299.995E-06,+1.185585937E+00,+569.532430E-03
-294.995E-06,+1.224652344E+00,+570.704305E-03
-289.995E-06,+1.267615234E+00,+571.875790E-03
-284.995E-06,+1.304726562E+00,+572.657430E-03
-279.995E-06,+1.343791016E+00,+573.828915E-03
-274.995E-06,+1.384802734E+00,+574.610165E-03
-269.995E-06,+1.421912109E+00,+575.391415E-03
-264.995E-06,+1.459023437E+00,+576.172274E-03
-259.995E-06,+1.498082031E+00,+576.562899E-03
-254.995E-06,+1.533240234E+00,+576.953524E-03
-249.995E-06,+1.570349609E+00,+577.343759E-03
-244.995E-06,+1.607455078E+00,+577.343759E-03
-239.995E-06,+1.640662109E+00,+577.343368E-03
-234.995E-06,+1.677767578E+00,+576.953134E-03
-229.995E-06,+1.710974609E+00,+576.952743E-03
-224.995E-06,+1.748083984E+00,+576.562118E-03
-219.995E-06,+1.785189453E+00,+576.171102E-03
-214.995E-06,+1.818390625E+00,+575.389462E-03
-209.995E-06,+1.849642578E+00,+574.217977E-03
-204.995E-06,+1.882845703E+00,+573.436727E-03
-199.995E-06,+1.916046875E+00,+572.655087E-03
-194.995E-06,+1.947296875E+00,+571.482821E-03
-189.995E-06,+1.978546875E+00,+569.920712E-03
-184.995E-06,+2.009796875E+00,+568.748446E-03
-179.995E-06,+2.041044922E+00,+567.185946E-03
-174.995E-06,+2.070341797E+00,+565.623446E-03
-169.995E-06,+2.099638672E+00,+564.060165E-03
-164.995E-06,+2.128935547E+00,+561.716805E-03
-159.995E-06,+2.158230469E+00,+559.763680E-03
-154.995E-06,+2.185574219E+00,+557.810165E-03
-149.995E-06,+2.212916016E+00,+555.466415E-03
-144.995E-06,+2.238306641E+00,+553.122664E-03
-139.995E-06,+2.263697266E+00,+550.778524E-03
-134.995E-06,+2.289083984E+00,+548.044149E-03
-129.995E-06,+2.310570312E+00,+545.308993E-03
-124.995E-06,+2.334007812E+00,+541.794149E-03
-119.995E-06,+2.357447266E+00,+539.059383E-03
-114.995E-06,+2.382830078E+00,+535.933992E-03
